Jurusan
"Tampilkan Semua
Akuntansi
Desain Komunikasi Visual
Ilmu Hukum
Sistem Teknologi Informasi
Manajemen Keuangan
Ilmu Komunikasi
Manajemen & Administrasi
Psikologi
Statistik
Teknik Elektro
Teknik Industri
Teknik Telekomunikasi
Ilmu Komputer
Teknik Informatika
Aktuaria
Manajemen
Keuangan
Sistem dan Teknologi Informasi
Teknik Sipil
Fisika
Kedokteran
Bisnis
Matematika
Teknik Mesin
Sarjana Teknik
Apoteker
Ilmu Hukum Pidana dan Perdata
Marketing
Ekonomi & Bisnis
Sains
Teknik Kimia
Teknik Transportasi
Analis Kesehatan
Keperawatan
Management SDM
Kimia
Farmasi
Mikrobiologi
Administrasi
Public Relations
Manajemen Akuntansi
Teknik Tekstil
Administrasi Bisnis
Asuransi
Manajemen bisnis
Ekonomi
Manajemen ekonomi dan bisnis
Perpajakan/Pajak
Sastra Indonesia
Sastra Inggris
Marketing Communication
Desain Grafis
Agroteknologi
Agronomi
Hama Penyakit Tanaman
Budidaya Perkebunan
Kehutanan
Pertanian
Bioteknologi
Teknik Lingkungan
Sosial Ekonomi
Pendidikan Ilmu Komunikasi
Ketenagakerjaan
Sosial
Administrasi Fiskal
Manajemen Hutan
Agribisnis
Ekonomi Pembangunan
Teknik Sipil bangunan Gedung
Teknik geodesi/geodesi
Geomatika
Peternakan
Teknologi Hasil Pertanian
Bisnis Digital
Teknologi Industri Pertanian
Data Sicence & Artificial Intelligence
Teknik Robotika
Seni Rupa dan Desain
Biokimia
Teknik Grafika
Mikrobiologi Pertanian
Proteksi Tanaman
Manajemen Stratejik
Manajemen Risiko
Manajemen Aset
Biologi
Pemuliaan Tanaman
Teknik Sipil (Teknik Sipil SDA)
Rekayasa Pertanian
Rekayasa Hayati
Ilmu Tanah
Ekonomi Manajemen
Ekonomi Akuntansi
Teknik Eletromedik
Administrasi Negara
Administrasi Perkantoran
Manajemen Pemasaran
Matematika Aktuaria
Arsitektur
Manajemen Logistik
Kesehatan Lingkungan
BUDIDAYA PERTANIAN
TEKNIK PERTANIAN
MEKANISASI PERTANIAN
HAMA PENYAKIT PERTANIAN
Teknik Fisika
Mechanical Piping
Instrument Electrical
Nautika
Teknik Perkapalan
Teknik Sistem Perkapalan
Sarjana Telekomunikasi
Humas
Teknologi Hasil Hutan
Sistem Komputer
Manajemen Asuransi
Teknik Komputer
Teknik Geoteknik
sains komputer
Manajemen Transportasi
Teknik Pengolahan Limbah
Manajemen Sistem Informasi
Manajemen Informatika
PDSK
Sekretaris
Ilmu Kesehatan
Ilmu Pendidikan
Semua Jurusan"
